Loan_ID,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Status
LP001002,1,5849,0,146,Y
LP001003,1,4583,1508,128,N
LP001005,1,3000,0,66,Y
LP001006,0,2583,2358,120,Y
LP001008,1,6000,0,141,Y
LP001011,1,5417,4196,267,Y
LP001013,0,2333,1516,95,Y
LP001014,1,3036,2504,158,N
LP001018,1,4006,1526,168,Y
LP001020,1,12841,10968,349,N
LP001024,1,3200,700,70,Y
LP001027,1,2500,1840,109,Y
LP001028,1,3073,8106,200,Y
LP001029,1,1853,2840,114,N
LP001030,1,1299,1086,17,Y
LP001032,1,4950,0,125,Y
LP001034,0,3596,0,100,Y
LP001036,1,3510,0,76,N
LP001038,0,4887,0,133,N
LP001041,1,2600,3500,115,Y
LP001043,0,7660,0,104,N
LP001046,1,5955,5625,315,Y
LP001047,0,2600,1911,116,N
LP001050,0,3365,1917,112,N
LP001052,1,3717,2925,151,N
LP001066,1,9560,0,191,Y
LP001068,1,2799,2253,122,Y
LP001073,0,4226,1040,110,Y
LP001086,0,1442,0,35,N
LP001087,1,3750,2083,120,Y
LP001091,1,4166,3369,201,N
LP001095,1,3167,0,74,N
LP001097,1,4692,0,106,N
LP001098,1,3500,1667,114,Y
LP001100,1,12500,3000,320,N
LP001106,1,2275,2067,146,Y
LP001109,1,1828,1330,100,N
LP001112,1,3667,1459,144,Y
LP001114,1,4166,7210,184,Y
LP001116,0,3748,1668,110,Y
LP001119,1,3600,0,80,N
LP001120,1,1800,1213,47,Y
LP001123,1,2400,0,75,Y
LP001131,1,3941,2336,134,Y
LP001136,0,4695,0,96,Y
LP001137,1,3410,0,88,Y
LP001138,1,5649,0,44,Y
LP001144,1,5821,0,144,Y
LP001146,1,2645,3440,120,N
LP001151,1,4000,2275,144,Y
LP001155,0,1928,1644,100,Y
LP001157,1,3086,0,120,Y
LP001164,1,4230,0,112,N
LP001179,1,4616,0,134,N
LP001186,1,11500,0,286,N
LP001194,1,2708,1167,97,Y
LP001195,1,2132,1591,96,Y
LP001197,1,3366,2200,135,N
LP001198,1,8080,2250,180,Y
LP001199,0,3357,2859,144,Y
LP001205,1,2500,3796,120,Y
LP001206,1,3029,0,99,Y
LP001207,0,2609,3449,165,N
LP001213,1,4945,0,146,N
LP001222,1,4166,0,116,N
LP001225,1,5726,4595,258,N
LP001228,0,3200,2254,126,N
LP001233,1,10750,0,312,Y
LP001238,0,7100,0,125,Y
LP001241,1,4300,0,136,N
LP001243,1,3208,3066,172,Y
LP001245,0,1875,1875,97,Y
LP001248,1,3500,0,81,Y
LP001250,0,4755,0,95,N
LP001253,1,5266,1774,187,Y
LP001255,1,3750,0,113,N
LP001256,1,3750,4750,176,N
LP001259,1,1000,3022,110,N
LP001263,1,3167,4000,180,N
LP001264,0,3333,2166,130,Y
LP001265,1,3846,0,111,Y
LP001266,1,2395,0,146,Y
LP001267,1,1378,1881,167,N
LP001273,1,6000,2250,265,N
LP001275,1,3988,0,50,Y
LP001279,1,2366,2531,136,Y
LP001280,0,3333,2000,99,Y
LP001282,1,2500,2118,104,Y
LP001289,1,8566,0,210,Y
LP001310,1,5695,4167,175,Y
LP001316,1,2958,2900,131,Y
LP001318,1,6250,5654,188,Y
LP001319,0,3273,1820,81,Y
LP001322,1,4133,0,122,Y
LP001325,0,3620,0,25,Y
LP001326,1,6782,0,146,N
LP001327,1,2484,2302,137,Y
LP001333,1,1977,997,50,Y
LP001334,0,4188,0,115,Y
LP001343,1,1759,3541,131,Y
LP001345,0,4288,3263,133,Y
LP001349,1,4843,3806,151,Y
LP001350,1,13650,0,146,Y
LP001356,1,4652,3583,146,Y
LP001357,1,3816,754,160,Y
LP001367,1,3052,1030,100,Y
LP001369,1,11417,1126,225,Y
